X Y
454971.8 4556721.6
454891.0 4556140.0
454595.7 4555512.8
455235.3 4555228.6
455513.3 4554614.6
455840.3 4554337.5
456650.4 4554294.2
456729.6 4554153.1
457258.5 4554023.3
457561.1 4553347.1
457885.1 4552947.2
458045.9 4552206.9
458411.8 4551751.4
458517.2 4551479.5
458404.2 4551294.8
458607.1 4551230.4
458521.9 4551072.0
458617.8 4550755.7
458887.0 4550585.7
458898.3 4550153.4
458783.3 4549935.4
458810.1 4549672.0
459000.5 4549585.2
458959.9 4549333.9
459400.3 4549187.4
460141.8 4549432.6
460151.0 4549221.1
461654.4 4548521.7
461737.5 4548193.8
462289.7 4547935.2
462335.7 4547805.4
462587.2 4547852.9
462685.6 4548003.2
463065.8 4547849.7
463420.2 4548175.7
463855.1 4548127.3
463925.3 4548220.3
464229.3 4548105.3
464070.6 4547816.1
464152.9 4547323.1
464272.2 4547293.7
464181.5 4546820.7
464283.3 4546798.7
464121.4 4546503.4
464207.8 4546133.6
463778.9 4545774.0
463760.9 4545322.9
463393.8 4544810.9
463465.8 4544338.6
463166.1 4544042.6
463108.6 4543586.5
463760.0 4543472.3
464520.2 4541728.3
465283.2 4540916.3
465695.2 4540651.3
466571.4 4539592.2
466826.2 4538862.7
466314.2 4538361.3
464814.0 4537460.7
464980.1 4537103.0
464793.8 4536564.6
464930.2 4536282.3
464529.1 4535215.3
463982.2 4534391.9
463638.9 4533236.5
463298.5 4532868.3
463235.6 4532161.6
463346.1 4531917.2
463207.9 4531466.6
462206.4 4530253.8
462244.0 4529830.7
461996.1 4529182.3
462475.9 4528898.2
462601.1 4528511.4
462055.8 4528347.9
461395.5 4528693.4
461210.1 4528497.4
461435.5 4527869.5
461376.1 4527765.9
461184.9 4527784.0
461203.4 4527588.4
461369.7 4527483.6
461583.9 4527674.5
461780.9 4527680.4
461896.9 4527340.0
462216.1 4527162.1
462470.7 4527322.3
462685.3 4526939.5
462968.7 4526766.7
462524.9 4526319.8
462785.6 4525830.8
462884.5 4525013.2
462231.1 4525136.6
461904.0 4524812.1
461395.4 4524658.9
460166.2 4523778.1
460259.4 4523395.4
460739.7 4522975.6
460341.5 4522396.3
459956.6 4522456.8
459849.9 4522357.5
460399.9 4521454.7
460323.0 4521289.0
459673.0 4520980.4
459592.9 4520818.0
459816.7 4520020.1
459762.6 4519331.0
459294.2 4518762.1
459287.7 4518285.7
458577.0 4517602.3
458517.5 4516518.9
458237.4 4516300.4
457785.9 4516547.0
457547.6 4516248.6
457598.3 4515718.3
457435.2 4515476.3
457589.9 4515392.4
458002.3 4515467.6
458984.8 4515005.4
460532.5 4514919.1
461269.2 4514583.7
461363.1 4514269.0
462021.8 4513506.2
462290.5 4512927.0
462198.2 4512667.0
462513.7 4512327.9
462448.8 4510892.6
462264.7 4510150.3
462004.1 4510108.8
